CODG_VAR;DESC_VAR
10822;Municípios com conselho municipal de política urbana, desenvolvimento urbano, da cidade ou similar, paritário e que tenha feito pelo menos uma reunião nos últimos 12 meses
10823;Proporção de municípios com conselho municipal de política urbana, desenvolvimento urbano, da cidade ou similar, paritário e que tenha feito pelo menos uma reunião nos últimos 12 meses
11084;Proporção de escolas dos anos finais do ensino fundamental
11085;Proporção de escolas dos anos iniciais do ensino fundamental
11086;Proporção de escolas do ensino médio
11392;Pessoas de 18 anos ou mais de idade que sofreram violência nos últimos 12 meses
11393;Pessoas de 18 anos ou mais de idade que sofreram violência nos últimos 12 meses, considerando um intervalo de confiança de 95% - limite inferior
11394;Pessoas de 18 anos ou mais de idade que sofreram violência nos últimos 12 meses, considerando um intervalo de confiança de 95% - limite superior
11598;Proporção de nascimentos assistidos por profissional de saúde qualificado
11687;Número de nascidos vivos de mães adolescentes por 1000 mulheres
11704;Taxa de mortalidade por suicídio (População com 5 anos ou mais)
11725;Óbitos atribuídos a fontes de água inseguras, saneamento inseguro e falta de higiene
11726;Taxa de mortalidade atribuída a intoxicação não intencional
11728;Óbitos por lesões de trânsito
11754;Probabilidade de morrer atribuída a doenças cardiovasculares, câncer, diabetes ou doenças respiratórias crônicas entre os 30 a 69 anos
12360;Prevalência do consumo atual de tabaco na população de 15 anos ou mais, considerando um intervalo de confiança de 95% - limite inferior
12361;Prevalência do consumo atual de tabaco na população de 15 anos ou mais, considerando um intervalo de confiança de 95% - limite superior
12382;Prevalência do consumo atual de tabaco na população de 15 anos ou mais
12737;Número de casos novos de tuberculose
12746;Índice de paridade de frequência à escola das pessoas de 5 anos de idade, rendimento domiciliar per capita (até 20%/mais de 80%)
12763;Taxa de incidência da malária por 1.000 habitantes
12764;Número de casos autóctones de malária
12769;Variação proporcional da extensão dos ecossistemas relacionados à água
12770;Variação da extensão dos ecossistemas relacionados à água
12771;Eficiência do uso de água, em moeda estrangeira
12772;Número de pessoas que necessitam de intervenção contra doenças tropicais negligenciadas (DTN)
12948;Número de óbitos atribuídos a doenças cardiovasculares, câncer, diabetes ou doenças respiratórias crônicas na população de 30 a 69 anos
